name,screen_name,type,priority
The Economist,economist.europe,page,121
группа QUEEN в наших сердцах навсегда)))))_______________QUEEN group in our hearts forever))))),club9479053,group,122
РАССРОЧКА &amp; КРЕДИТ *** музыкальные инструменты *,rassrochka,group,123
NRI - На Руїнах Іліону (ехТРОЯ),naruinah,group,124
IT Education Academy (ITEA) - IT курсы,iteaua,page,125
Регулярные семинары: образование и стажировки,yescenter_seminar,event,126
"Турклуб КПІ ""Глобус""",club1332388,group,127
KPIdata 2017,kpidata,page,128
Дні науки 2017,dni_nauky,page,129
15x4 Киев,15x4kyiv,page,130
ВЕЛОПЛАНЕТА на Голосеево,veloplanetagoloseevo,page,131
"Тренінговий клуб ""СІМ""",trainingclub,group,132
Благотворительная продажа детских работ.,club39196160,group,133
Pepsi Night Cinema: Adrien Brody,kronverkcinemanight,event,134
Ричард Брэнсон,rbranson,page,135
Легенда об Искателе / Legend Of The Seeker,club17816988,group,136
Центр розвитку кар'єри КПІ ім. Ігоря Сікорського,kpicareercenter,page,137
SE2016 - Software Engineering Conference,seconf,event,138
de:coded – Computer Art Festival,decoded_ua,group,139
ФизТех имеет всех!!!,fiztehimeetvseh,group,140
Firefly | 宁静,firefly_by_joss_whedon,group,141
English Speaking Club at KPI (by SSA),kpienglish,page,142
Сinema Nights,cinema.nights,group,143
Політехологія,politexologiya,page,144
SNAMI Finance,snami.finance,page,145
True Skeptic,trueskeptic,page,146
Хакер,4hacker,page,147
КПИ hub,kpihub,page,148
"Sennheiser, Monster Beats наушники и колонки",beatboxmb,group,149
"Ярмарок Вакансій НТУУ ""КПІ""",rabotakpi,group,150
KPI Weeks,kpiweeks,page,151
Hackraft,hackraft,page,152
Novus ordo seclorum,scienceslam.kiev,group,153
Квартирник КПИ,kpikvartirnik,event,154
Force,hello_force,group,155
Ричард Брэнсон | Richard Branson,richard_branson,page,156
За Мить Щастя,zamytschastya,group,157
"""The Sandstones""",sandstones2,group,158
"Турклуб ""Глобус"" - Події",tkg_org_ua,event,159
greencubator,greencubator,page,160
#KPImaps,kpimaps,page,161
Дні Науки ФСП,dninaukifsp,group,162
Риболовля КПІ - Fishing KPI,fishing_kpi,group,163
[20.04 безкоштовний СІМінар: інтелект],siminar5,event,164
[6.04 Безкоштовний СІМінар:стосунки],siminar4,event,165
Global Village 2014,global_village_2014,event,166
Стихи как часть жизни,yanina_poem,group,167
ITER AD ORTUS - КИЕВ,iter_ad_ortus_kyiv,group,168
"Приходская ""Молодежка"" храмов Прп.Агапита Печерс",agapit.molodezhka,group,169
[16.03 СІМінар: комунікація],siminar2,event,170
"Стартап Школа ""Sikorsky Challenge""",sikorsky_challenge,page,171
• jay's song •,jayss.gifts,group,172
[30.03 безкоштовний СІМінар: здоров'я],siminar3,event,173
ADVENTURE GO | Expanse of Traveler,adventurego,page,174
Таинственный Петербург,peterburg_taina,event,175
Соловей,soloway_kpi,group,176
25.05 - 26.05. Soft Skills School,softskills3,event,177
Hayseed Dixie,hayseeddixie,group,178
15x4 Лекторы,15x4org,group,179
[27.04 безкоштовний СІМінар: Успіх],siminar6,event,180
Українська Секція ІЕЕЕ / IEEE Ukraine Section,ieeeinukraine,group,181
"""Допомогти може кожен"" - м. Київ",anyone_can_help_kyiv,event,182
Курсы программирования Python + Django,online_python.django,group,183
Иконы под заказ ручной работы.,club110093066,group,184
"""Серце України"" - допомагаємо всією країною !",atohelparmy,event,185
InternSkill,internskill,page,186
Ultimate Robotics Workshop,ultimaterobotics,page,187
Психонавтика #літВежа,psihonavtika_litveza,event,188
15x4 Kyiv Лекторы,15x4kyiv_lecturers,group,189
Спейсач.,space_nature,page,190
| АУКЦИОН СВИДАНИЙ | ФБТ | ХТФ | ИХФ |,charity_auctionkpi,event,191
Фінансова конференція FinCo'15,finco2015,event,192
Illia Gorkusha / Photographer /©,igophotographer,group,193
Буг,southern_bug,group,194
Сава,sava_tanya_o,page,195
GEVARA,club80291689,page,196
13.11. Рукопашный бой. Открытое занятие.,club105790321,event,197
Bright Outsource,bright_outsource,page,198
KPIbIke Community,kpibike,page,199
Ночь кино | STAR WARS | Звездные Войны,sw_night_party,event,200
Фінансова конференція FinCo 2014,finco14,event,201
"Творче об'єднання ""КРУМПЛЯ""",club56154126,page,202
Повний цикл NLP проекту від Всеволода Дьомкіна,nlpbyvseloved,event,203
CFA Ukraine,cfaukraine,page,204
Radiusify Ukraine,radiusify,group,205
C.P.I.: Running Club,club96185261,page,206
AIESEC Kyiv LLC,llc_kyiv,group,207
Александр Волков,club67073435,page,208
Неформальний економічний турнір 14.09.2014,economical.turnir,event,209
Дискуссионный клуб светской культуры,discussions.culture.club,group,210
26.07 - The Royal Tenenbaums - Movie Club,mcl260715,event,211
ХАТА²,xatadva,event,212
